entity_type,entity_id,change_type,metric_trigger,before_value,after_value,explanation
Template — Content,TPL-2963622F,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (trial) | Goal: Engagement → MCC • rapid adoption & habit formation | Theme/Hook: Core Drive 3: Empowerment/Curiosity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-F06B2A91,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (paid) | Goal: Engagement → MCC • deepening engagement & retention | Theme/Hook: Core Drive 3: Empowerment/Sense of Accomplishment. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-49FF6F2D,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (paid) | Goal: Engagement → MCC • deepening engagement & retention | Theme/Hook: Core Drive 3: Empowerment/Social Proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-27E24099,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (paid) | Goal: Engagement → MCC • deepening engagement & retention | Theme/Hook: Core Drive 3: Empowerment/Personalization. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-912F46AA,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (paid) | Goal: Engagement → MCC • deepening engagement & retention | Theme/Hook: Core Drive 3: Empowerment/Curiosity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-C677D6E0,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (paid) | Goal: Engagement → MCC • deepening engagement & retention | Theme/Hook: Core Drive 3: Empowerment/Empowerment. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-DC9B6F06,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (churned) | Goal: Engagement → MCC • re-engagement & recovering lost habits | Theme/Hook: Core Drive 3: Empowerment/Social proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-129F75E3,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (churned) | Goal: Engagement → MCC • re-engagement & recovering lost habits | Theme/Hook: Core Drive 3: Empowerment/Personalization. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-EBDA0A15,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (churned) | Goal: Engagement → MCC • re-engagement & recovering lost habits | Theme/Hook: Core Drive 3: Empowerment/Gamification. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-58C71BC1,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (churned) | Goal: Engagement → MCC • re-engagement & recovering lost habits | Theme/Hook: Core Drive 3: Empowerment/Empowerment. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-B67A29B2,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (churned) | Goal: Engagement → MCC • re-engagement & recovering lost habits | Theme/Hook: Core Drive 3: Empowerment/Social connection. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-C6302B72,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (inactive) | Goal: Engagement → MCC • compelling return value proposition | Theme/Hook: Core Drive 3: Empowerment/Sense of Accomplishment. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-7943AE5B,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (inactive) | Goal: Engagement → MCC • compelling return value proposition | Theme/Hook: Core Drive 3: Empowerment/Social Proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-7D2FA421,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (inactive) | Goal: Engagement → MCC • compelling return value proposition | Theme/Hook: Core Drive 3: Empowerment/Curiosity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-99C93BE8,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (inactive) | Goal: Engagement → MCC • compelling return value proposition | Theme/Hook: Core Drive 3: Empowerment/Personalization. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-D75F1C2C,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S2 (inactive) | Goal: Engagement → MCC • compelling return value proposition | Theme/Hook: Core Drive 3: Empowerment/Urgency. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-0FACE438,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (trial) | Goal: Identity → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 5: Social Influence/Social Proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-40072FD3,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (trial) | Goal: Identity → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 5: Social Influence/Social Comparison. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-75A19279,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (trial) | Goal: Identity → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 5: Social Influence/Social Identity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-97938FCB,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (trial) | Goal: Identity → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 5: Social Influence/Social Influence. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-7CC97997,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (trial) | Goal: Identity → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 5: Social Influence/Social Recognition. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-F94180D6,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (paid) | Goal: Identity → retention • deepening engagement & retention | Theme/Hook: Core Drive 5: Social Influence/Social proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-4332C62D,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (paid) | Goal: Identity → retention • deepening engagement & retention | Theme/Hook: Core Drive 5: Social Influence/Social interaction. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-E0427708,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (paid) | Goal: Identity → retention • deepening engagement & retention | Theme/Hook: Core Drive 5: Social Influence/Social recognition. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-DB086134,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (paid) | Goal: Identity → retention • deepening engagement & retention | Theme/Hook: Core Drive 5: Social Influence/Social influence. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-7D088CED,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (paid) | Goal: Identity → retention • deepening engagement & retention | Theme/Hook: Core Drive 5: Social Influence/Social identity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-C9359DEB,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (churned) | Goal: Identity → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 5: Social Influence/Social Proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-32F52C44,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (churned) | Goal: Identity → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 5: Social Influence/Social Comparison. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-7D573A0B,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (churned) | Goal: Identity → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 5: Social Influence/Social Identity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-3C6C838A,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (churned) | Goal: Identity → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 5: Social Influence/Social Exclusion. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-BE0587C6,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (churned) | Goal: Identity → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 5: Social Influence/Social Recognition. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-8D3D8731,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (inactive) | Goal: Identity → retention • compelling return value proposition | Theme/Hook: Core Drive 5: Social Influence/Social Proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-9DFD83DC,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (inactive) | Goal: Identity → retention • compelling return value proposition | Theme/Hook: Core Drive 5: Social Influence/Social Comparison. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-7ACC649D,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (inactive) | Goal: Identity → retention • compelling return value proposition | Theme/Hook: Core Drive 5: Social Influence/Social Identity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-34B19BBA,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (inactive) | Goal: Identity → retention • compelling return value proposition | Theme/Hook: Core Drive 5: Social Influence/Social Exclusion. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-11BBF3E8,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S3 (inactive) | Goal: Identity → retention • compelling return value proposition | Theme/Hook: Core Drive 5: Social Influence/Social Curiosity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-30AEA31C,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (trial) | Goal: Habit formation → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 7: Unpredictability/Surprise & Delight. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-5F94148E,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (trial) | Goal: Habit formation → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 7: Unpredictability/Social Proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-E86F3526,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (trial) | Goal: Habit formation → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 7: Unpredictability/Gamification. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-68C7BCD6,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (trial) | Goal: Habit formation → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 7: Unpredictability/Curiosity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-4CB48C5D,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (trial) | Goal: Habit formation → retention • rapid adoption & habit formation | Theme/Hook: Core Drive 7: Unpredictability/Incentive. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-7819DB56,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (paid) | Goal: Habit formation → retention • deepening engagement & retention | Theme/Hook: Core Drive 7: Unpredictability/Surprise and Delight. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-B598F5B1,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (paid) | Goal: Habit formation → retention • deepening engagement & retention | Theme/Hook: Core Drive 7: Unpredictability/Social Proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-C8227619,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (paid) | Goal: Habit formation → retention • deepening engagement & retention | Theme/Hook: Core Drive 7: Unpredictability/Personalization. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-78A55AB3,Promoted (Epsilon-Greedy Winner),"CTR=18.0%, Engagement=45.0%, Uninstall=1.0%",Selection weight: 1.0  |  Status: Active (standard pool),Selection weight: 100.0  |  Status: Dominant (repeated x100 in pool),Segment S4 (paid) | Goal: Habit formation → retention • deepening engagement & retention | Theme/Hook: Core Drive 7: Unpredictability/Gamification | Best window: early_morning. Exceeded top-tier thresholds — scaled to guarantee this hook reaches the majority of the segment in Iteration 1.
Template — Content,TPL-CF2E7CC1,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (paid) | Goal: Habit formation → retention • deepening engagement & retention | Theme/Hook: Core Drive 7: Unpredictability/Curiosity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-DCE78947,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (churned) | Goal: Habit formation → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 7: Unpredictability/Surprise and Delight. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-5234CAC9,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (churned) | Goal: Habit formation → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 7: Unpredictability/Social Proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-126A0C6A,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (churned) | Goal: Habit formation → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 7: Unpredictability/Curiosity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-2479779F,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (churned) | Goal: Habit formation → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 7: Unpredictability/Reward. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-0852A8D2,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (churned) | Goal: Habit formation → retention • re-engagement & recovering lost habits | Theme/Hook: Core Drive 7: Unpredictability/Personalization. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-3B5C67CA,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (inactive) | Goal: Habit formation → retention • compelling return value proposition | Theme/Hook: Core Drive 7: Unpredictability/Surprise and Delight. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-798D8217,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (inactive) | Goal: Habit formation → retention • compelling return value proposition | Theme/Hook: Core Drive 7: Unpredictability/Social Proof. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-FDE83EE2,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (inactive) | Goal: Habit formation → retention • compelling return value proposition | Theme/Hook: Core Drive 7: Unpredictability/Curiosity. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-5762895D,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (inactive) | Goal: Habit formation → retention • compelling return value proposition | Theme/Hook: Core Drive 7: Unpredictability/Personalization. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-D9440A41,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (inactive) | Goal: Habit formation → retention • compelling return value proposition | Theme/Hook: Core Drive 7: Unpredictability/Gamification. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-50962686,Suppressed (Retired),"CTR=3.0%, Engagement=11.1%, Uninstall=4.0%",Selection weight: 1.0  |  Status: Active,Selection weight: 0.0  |  Status: Retired (removed from pool),Segment S5 (trial) | Goal: Engagement → MCC • rapid adoption & habit formation | Theme/Hook: Core Drive 3: Empowerment/Social Proof | Window: early_morning. Failed minimum engagement thresholds. Fully suppressed to prevent user fatigue and reduce churn risk.
Template — Content,TPL-82D8591A,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (trial) | Goal: Engagement → MCC • rapid adoption & habit formation | Theme/Hook: Core Drive 3: Empowerment/Personalization. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-597D873C,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S5 (trial) | Goal: Engagement → MCC • rapid adoption & habit formation | Theme/Hook: Core Drive 3: Empowerment/Scarcity. No experiment exposure yet — kept active for future A/B testing.
